PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
1,"670, 680, 690 Progress Avenue",On-Site,"Other" – De-icing salts usage,"The buildings were constructed in circa 1972, the buildings are surrounded by asphalt parking lots. Parking lots are located at north and central portions of the Site.",Potential,Other
2,670 Progress Avenue,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on City Directory, the unit was operated by Combustion & Energy System from 1980 to 1985/86. It was listed as having operation of heating, ventilation and air conditioning system manufacturer.",Potential,CD
3,670 Progress Avenue Unit 1,On-Site,#19 – Electronic and Computer Equipment Manufacturing,"Based on ERIS, Leecraft Industries Limited (former Andro Electronic) was listed as a waste generator of paint/pigment/coating/residue, aliphatic solvents, halogenated solvents, organic acids from 1988 to 1998. The unit was listed as having operation of electrical parts and component.",Potential,ERIS
4,670 Progress Avenue Unit 1 to 6,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on FIP Siteplan Report from 1982, a manufacturing and lock assembly was observed.",Potential,FIP
5,670 Progress Avenue Unit 7 to 8,On-Site,#43 – Plastics (including fibreglass) manufacturing and processing,"Based on FIP Siteplan Report from 1982, Hang Tough Products, a plastic extrusion shop was observed.",Potential,FIP
39,111 Grangeway Avenue Suite 504 (30 m south),Off-Site,"#45 – Pulp, Paper and Paperboard Manufacturing and Processing","Based on ERIS, the unit was occupied by Hoffman Enclosures Inc in 2009 and was listed as active Canadian pulp and paper mill.","None. Given the paper mill is not operated on the ground, it is unlikely potential spill (if any) would likely contribute to APECs on Site.",ERIS
40,100 Consilium Place (120 m west),Off-Site,#47 – Operation of Dry Cleaning Equipment (where chemicals are used),"Based on City Directory, a dry cleaning facility was located inside the commercial building from 1991 to 2000.",None. The property is located significant distance to the Site.,CD
6,670 Progress Avenue Unit 8,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on ERIS, the unit was occupied by Cases Unlimited Inc and was listed as having operation of metal container manufacturing in 1999.",Potential,ERIS
7,670 Progress Avenue Unit 8,On-Site,#43 – Plastics (including fibreglass) manufacturing and processing,"Based on ERIS, the unit was occupied by Cooltec Coolers Canada and was a listed as having operations of textile bags, plastics products manufacturer in 1978. Cases Unlimited Inc was listed as having operations of all other plastic product manufacturing, textile bag and canvas mills in 1989.",Potential,ERIS
8,670 Progress Avenue Unit 9,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on FIP Siteplan Report from 1982, Argon Hoist, a metal fabrication shop was observed.",Potential,FIP
9,670 Progress Avenue Unit 11,On-Site,#37 – Operation of Dry Cleaning Equipment (where chemicals are used),"Based on City Directory, the unit was occupied by GBA Refineries Ltd from 1991 to 2000. Based on DCS (1992), the unit was used for dry cleaning product distribution operation. A 200 L AST was used to locate along the south wall of the warehouse area to store the liquid in reparation for bulk distribution to the various dry cleaning operations.",Potential,CD
10,670 Progress Avenue Unit 12,On-Site,#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on ERIS, the unit was occupied by All-Lift (Scarborough) Limited and was listed as a waste generator of petroleum distillated, waste oils and lubricants, aliphatic solvents and residues waste generator from 1993 to 2015. The unit was listed as having operation of industrial machinery equipment and supplies wholesale. Based on the previous environmental investigation. (AGRA, 1999b), an UST was located at east of Unit 12 and decommissioned in 1999. A 250 gallons AST for waste oil was observed at east wall of Unit 11 to 12 during Site reconnaissance.",Potential,ERIS
11,670 Progress Avenue Unit 11 to 12,On-Site,"#52 – Storage, Maintenance, Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain",Staining and water oil separator were observed at All-Lift (Scarborough) Limited during Site visit. The facility is a mechanical shop for maintaining and repairing forklift trucks.,Potential,Other
12,670 Progress Avenue Unit 11 to 12,On-Site,#30 – Importation of Fill Material of Unknown Quality,"Based on the previous environmental investigation reports, the former UST at east wall of unit 11 to 12 was removed and backfilled in 1999. Unknown quality of fill material was used.",Potential,Other
13,680 Progress Avenue,On-Site,#57 – Vehicles and Associated Parts Manufacturing,"Based on ERIS, the property was occupied by Modu-Tronics In and was listed as a waste generator of halogenated solvents from 1986 to 1998. The property was listed as having operation of other vehicle access.",Potential,ERIS
14,680 Progress Avenue,On-Site,#43 – Plastics (including fibreglass) manufacturing and processing,"Based on City Directory, Malpack Polybag Co Ltd was a tenant of 680 Progress Avenue from 1980 to 1991 and it was a plastic bag manufacturer.",Potential,CD
15,680 Progress Avenue Unit 2,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on FIP Siteplan Report from 1982, a metal working facility was observed.",Potential,FIP
16,690 Progress Avenue,On-Site,#43 – Plastics (including fibreglass) manufacturing and processing,"Based on City Directory, Prosperous Manufacturing Corp, a hanger, elastic manufacturer was tenant at 690 Progress Avenue from 1995 to 2000",Potential,CD
17,690 Progress Avenue Unit 10,On-Site,#19 – Electronic and Computer Equipment Manufacturing,"Based on ERIS, the unit was occupied by Crest Circuit Company Limited and was listed as a waste generator of alkaline wastes, neutralized wastes, halogenated solvents, acid waste from 1986 to 1998. The unit was listed as having operation of electronic parts and components manufacturing.",Potential,ERIS
18,690 Progress Avenue Unit 11,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on FIP Siteplan Report from 1982, an electro plating shop was observed.",Potential,FIP
19,690 Progress Avenue Unit 12,On-Site,"#8 – Chemical Manufacturing, Processing and Bulk Storage","Based on ERIS, the unit was occupied by Hankin Atlas Ozone Systems Ltd and was listed as having operation of all other miscellaneous chemical product manufacturing in 1988.",Potential,ERIS
20,690 Progress Avenue Unit 12,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on ERIS, the unit was occupied by Hankin Atlas Ozone Systems Ltd and was listed as having operations of commercial and service industry machinery manufacturing, agricultural implement manufacturing, pump and compressor manufacturing, all other general purpose machinery manufacturing in 1988.",Potential,ERIS
21,690 Progress Avenue Unit 14,On-Site,"Other"— Spill/Leak of Gasoline and Associated Products,"Based on ERIS, waste oil spill was identified at Unit 14, occupied by Macusi Wood Products in 2011.",Potential,ERIS
22,690 Progress Avenue Unit 15-17,On-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on City Directory, the unit was occupied by Gaya Industries Ltd from 1985 to 1991. It is a former plating shop.",Potential,CD
23,700 Progress Avenue,Off-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on ERIS, the unit was occupied by Trillium Communication and was listed as a waste generator of alkaline wastes – heavy metals from 1992 to 1998.",Potential,ERIS
24,700 Progress Avenue Unit 1 (East Adjacent),Off-Site,#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIP Siteplan Report from 1982, an UST located southeast adjacent to the Site was observed.",Potential,FIP
25,700 Progress Avenue Unit 7 (East Adjacent),Off-Site,#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on ERIS, the unit was occupied by Dasa Manufacturing and listed as waste generator of petroleum distillates, waste oils & lubricants from 2010 to 2014.",Potential,ERIS
26,700 Progress Avenue Unit 7 (East Adjacent),Off-Site,#19 – Electronic and Computer Equipment Manufacturing,"Based on ERIS, the unit was occupied by Dasa Manufacturing and was listed as having operation of small electrical appliance manufacturing from 2010 to 2014.",Potential,ERIS
27,700 Progress Avenue Unit 7 (East Adjacent),Off-Site,"#55 – Transformer manufacturing, processing and use","Based on FIP Siteplan Report from 1982, a 300-kV transformer located east adjacent to the Site was observed.",Potential,FIP
28,700 Progress Avenue Unit 10 (East Adjacent),Off-Site,#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on ERIS, the unit was occupied by Ability Machine, was listed as a waste generator of petroleum distillated from 1986 to 1998 and was listed as having operation of machine shop.",Potential,ERIS
29,700 Progress Avenue Unit 13 (East Adjacent),Off-Site,#19 – Electronic and Computer Equipment Manufacturing,"Based on ERIS, the unit was occupied by Quick Circuits Inc and Expert Circuits Inc and was listed as a waste generator of acid solutions, alkaline solutions, other specified inorganic sludges, slurries or solids, halogenated solvents from 1992 to 2016. Quick Circuits Inc was listed as having operation of semiconductor and other electronic component manufacturing in 1995.",Potential,ERIS
30,700 Progress Avenue Unit 15 to 16 (East Adjacent),Off-Site,"#33 – Metal Treatment, Coating, Plating and Finishing","Based on ERIS, the unit was occupied by Brite Plating Ltd, identified as coating of metal and was listed as a waste generator of neutralized wastes-heavy metals from 1992 to 1998.",Potential,ERIS
31,675 Progress Avenue (20 m south),Off-Site,#57 – Vehicles and Associated Parts Manufacturing,"Based on ERIS, the property was occupied by A.G. Simpson Co., 104712815RC002 Limited, Material Handling Systems of Canada Inc and was listed as a waste generator of numerous substances and had a wide range of automotive and vehicle parts manufacturing operations from 1986 to 2016.",Potential,ERIS
