PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
36,1285 Queen Street East,On-Site,#55 - Transformer,"Manufacturing, Processing and Use Based on ERIS, the property was occupied by Levine Recycling Ltd and had six (6) records of scrap metals. The property was also occupied by Fulco Automotive, had three (3) records of askarel stored for disposal in 1996 and four (4) records of weight of soil not in drums with low level PCBs in 1995 to 2000. Based on ERIS, 854 Eastern Avenue was occupied by Waxman Salvage and was listed as waste generator from 1986 to 1994",Located downgradient.,ERIS
37,1285 Queen Street East,On-Site,#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by Fulco Automotive Limited and was listed as a waste generator of other specified inorganics, heavy fuels, PCBs from 1992 to 2001. The property was listed as having operation of other waste materials.",,ERIS
38,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Industrial Coating Co from 1945 to 1960, Fulco Automotive Parts in 1970, Fulco Auto Wreckers from 1980 to 1985/86.",,CD
39,1285 Queen Street East,On-Site,#57 - Vehicles and Associated,Parts Manufacturing,,Other
40,Eastern Avenue,Off-Site (100 m southeast),#58 - Waste Disposal and,"and Laing Street Off-Site 100 m southeast Waste Management, Including Thermal Treatment, Landfilling and Transfer of Waste, Other Than Use of Biosoils as Soil Conditioners Based on ERIS, the property was operated by Eastern & Laing Fill and was listed as dump and was being filled in the late 1940s and early 1950s. None",Located downgradient.,ERIS
41,818 Eastern,Off-Site (100 m southwest),#37 - Operation and Dry,"Avenue Off-Site 100 m southwest Cleaning Equipment (Where Chemicals are Used) Based on ERIS, the property was occupied by The Park Avenue Cleaners, 1579920 Ontario Inc, Hydroquip Sales & Service Ltd and was listed as a waste generator of halogenated solvents and residues, neutralized wastes, petroleum distillates, heavy fuels, waste oils and None",Located downgradient.,ERIS
42,818 Eastern,Off-Site (100 m southwest),"#33 - Metal Treatment,","Coating, Plating and Finishing Activity (In relation to Site)1",,Other
43,818 Eastern,Off-Site (100 m southwest),#32 - Iron and Steel,"Manufacturing and Processing lubricants from 1988 to 2016. The property was listed as having operations of dry cleaning and laundry services and other machinery. The property was also occupied by Copacetic Woodwork & Design and was listed as having operations of all other miscellaneous manufacturing, all other miscellaneous fabricated metal product manufacturing, wood kitchen cabinet and counter top manufacturing, pottery, ceramics and plumbing fixture manufacturing, other millwork, other wood household furniture manufacturing, wood window and door manufacturing, all other miscellaneous fabricated metal product manufacturing in 1976. Based on City Directory, the property was occupied by Canadian Sheet Metal & Roofing Co in 1950, Norris Iron Works Ltd from 1950 to 1980.",,CD
44,31 Alton,Off-Site (120 m northeast),#28 - Gasoline and Associated,"Avenue Off-Site 120 m northeast Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Clark F E and had a record of a fuel oil tank in 1930. None",Located at significant distance.,ERIS
45,864 Eastern,Off-Site (120 m southeast),#10 - Commercial Autobody,"Avenue Off-Site 120 m southeast Shops Based on City Directory, the property was occupied by Anron Electric Motor Repairs in 1980. None",Located downgradient.,CD
46,26 to 36 Laing,Off-Site (120 m southeast),"#33 - Metal Treatment,","Street Off-Site 120 m southeast Coating, Plating and Finishing Based on City Directory, the property was occupied by Roy Randall Metals & Wire from 1955 to 1960, 1980. None",Located downgradient.,CD
47,49 Laing Street,Off-Site (120 m southeast),"#33 - Metal Treatment,","Off-Site 120 m southeast Coating, Plating and Finishing Based on City Directory, the property was occupied by Allied Metals Ltd from 1965 to 1975. None",Located downgradient.,CD
48,60 Leslie Street,Off-Site (120 m west),"#33 - Metal Treatment,","Activity (In relation to Site)1 1960, Dominion Electric Supply Co from 1955 to 1960, Petroquip Ltd from 1965 to 1970, Adams Electric Co in","Off-Site 120 m west Coating, Plating and Finishing Based on City Directory, the property was occupied by Dominion Electric Manufacturing Co Ltd from 1945 to None.",Other
49,128 Sears,Off-Site (130 m southeast),"#33 - Metal Treatment,","Street Off-Site 130 m southeast Coating, Plating and Finishing Based on FIP from 1965, a metal work shop was observed. None",Located downgradient.,FIP
50,43 Laing Street,Off-Site,#57 - Vehicles and Associated,"130 southeast Parts Manufacturing Based on FIP from 1965, an auto parts manufacturer was observed. None",Located downgradient.,FIP
51,43 Laing Street,Off-Site,#10 - Commercial Autobody,"Shops Based on City Directory, the propertywas occupied by Laing Auto Body in 1970, Neptune Auto Body in 1980, Four Brothers Auto Refinishing in 1985/86.",,CD
52,810 Eastern,Off-Site (140 m southwest),#28 - Gasoline and Associated,"Avenue Off-Site 140 m southwest Products Storage in Fixed Tanks Based on FIPs from 1934 and 1965, a gasoline service station and two (2) USTs were observed. None",Located downgradient.,FIP
53,810 Eastern,Off-Site (140 m southwest),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Maffatt Gas & Oil Co Ltd from 1925 to 1930, Thompson Service Station from 1936 to 1940, Blakc Geo A Service Station in 1950, Brownscombe Douglas Service Station in 1955, Grainer Vic Service Station in 1960, Flash Auto Glass Co Ltd from 1965 to 1975, S & S Motors Inc in 1999.",,CD
