PCA Identifier,Address,Location of Activity (In relation to Site),Potentially Contaminating Activity (PCA),Description and Approximate timeline,Contribution to APEC at the Site
1,4680 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","0.0157.8Gaya Industries Ltd; at 4680 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1986–1988",Potential
2,651 Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","25.4161.5Labelcraft Products Ltd; at 651 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1986–1990",Potential
3,651 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","25.4161.5Labelcraft Products Ltd; at 651 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1986–1990",Potential
4,"68690 Progress Avenue, Unit 10, SCARBOROUGH ON M1H 3A6",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","0.0157.0Crest Circuit Company Limited; at 68690 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1986–1989",Potential
5,700 Progress Avenue,Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 700 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); records 1992–2010,Potential
6,700 Progress Avenue,Near Site,"#33 – Metal Treatment, Coating, Plating and Finishing","20170208162SiteAddressDistance (m)Map KeyINNOV(OUT OF BUSINESS); at 700 Progress Avenue; (PCA: Metal Treatment, Coating, Plating and Finishing); record 2010",Potential
7,700 Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","25.4161.5Labelcraft Products Ltd.          24-304; at 700 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); record 1998",Potential
8,700 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","25.4161.5Labelcraft Products Ltd.          24-304; at 700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); record 1998",Potential
9,"700 Progress Avenue, Scarborough ON M1H 2Z7",Near Site,"#33 – Metal Treatment, Coating, Plating and Finishing","at 700 Progress Avenue; (PCA: Metal Treatment, Coating, Plating and Finishing); records 1992–2010",Potential
10,"700 Progress Avenue, Scarborough ON M1H 2Z7",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 700 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1992–2010",Potential
