PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site
1,1285 Queen Street East,On-Site,#9 - Coal Gasification,"Based on FIP from 1934, coal shed at southern portion of the Site was observed.",Potential.
2,1285 Queen Street East,On-Site,#30 - Importation of Fill,"Material of Unknown Quality Based on the aerial photographs, the Siteredeveloped to a commercial building, fill would have been imported to backfill the excavation.",Potential.
3,1285 Queen Street East,On-Site,“Other” - De-icing Salt Usage,"Based on the aerial photographs, asphalt parking lot",located to the west of the Site building Potential.
4,1285 Queen Street (former 1279 Queen Street East),On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Ballersby Sheet Metal Works in 1950.",Potential.
5,1285 Queen Street (former 1281 Queen Street East),On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Battersby Sheet Metal Works from 1955 to 1960, Stadium Garage in 1965.",Potential.
6,1285 Queen Street (former 1281 Queen Street East),On-Site,#10 - Commercial Autobody,Shops,Potential.
7,1270 Queen Street East,Off-Site (North adjacent),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1965, a sauce manufacturing including a boiler room and an UST was observed.",Potential.
8,1270 Queen Street East,Off-Site (North adjacent),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on ERIS, the property was occupied by Peter’s Aluminum Prime Ltd and was listed as having operations 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",Potential.
9,1284 to 1286 Queen Street East,Off-Site (North adjacent),#29 - Glass Manufacturing,"of metal doors, sash, frames, molding, and trim, metal window and door manufacturing and glass product manufacturing from purchased glass in 1977 and 1978. Based on City Directory, the property was occupied by Peter’s Aluminum Prime Ltd from 1980 to 1991.",Potential.
10,1292 Queen Street East,Off-Site (North adjacent),#37 - Operation and Dry,"Cleaning Equipment (Where Chemicals are Used) Based on City Directory, the property was occupied by Alton Cleaners from 1945 to 1975.",Potential.
11,1289 to 1301 Queen Street East,Off-Site (East adjacent),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on FIP from 1965, a transport garage was observed. Based on City Directory, the property was occupied by Tottenham Transport, Townsend Transport, Johnston O C Cartage from 1960 to 1970, Dean’s Auto Repair from 1980 to 1985/86, R & K Auto Repair in 1999.",Potential.
12,1289 to 1301 Queen Street East,Off-Site (East adjacent),#10 - Commercial Autobody,Shops,Potential.
13,1293 Queen Street East,Off-Site (East adjacent),#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by M&S Auto Refinishing Ltd, obtained a certificate of approval for air in 2005. Based on City Directory, the property was occupied by M & S Auto Refinishing Ltd in 1999. Based on Site reconnaissance, the property is currently occupied by M & S Auto Refinishing. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",Potential.
14,55 to 75 Leslie Street,Off-Site (10 m southwest #28 - Gasoline and Associated),#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by M&S Auto Refinishing Ltd, obtained a certificate of approval for air in 2005. Based on City Directory, the property was occupied by M & S Auto Refinishing Ltd in 1999. Based on Site reconnaissance, the property is currently occupied by M & S Auto Refinishing. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",Potential.
