PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site
1,1482 Bathurst Street,Off‑Site (15 m east),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, a taxi office and a residential dwelling are located at 1482 Bathurst Street, approximately 5 m east, with an UST located in the southern portion of the property, approximately 15 m east of the Site.",None. Located downgradient.
2,1492 Bathurst Street,Off‑Site (20 m northeast),#37 – Operation of Dry Cleaning Equipment (where chemicals are used),"Based on the city directory, the property located at 1492 Bathurst Street, approximately 20 m northeast, was occupied by Musical Arts College of Canada in 1930, My Valet Ltd in 1940, Harrons Cleaners & Dyers in 1950, Keith’s Cleaners & Dyers Ltd in 1960 and Keith’s Cleaners in 1971.",None. Inferred trans‑gradient.
3,524 St. Clair Avenue West,Off‑Site (30 m south),#37 – Operation of Dry Cleaning Equipment (where chemicals are used),"Based on the city directory, the property located at 524 St. Clair Avenue West, approximately 30 m south, was occupied by Taylor Service Stores, Cleaners in 1950, Langleys Ltd Cleaners in 1960, Mister Donut of Canada Inc in 1990 and Eden Fire Foods from 1990 to 2000.",None. Located downgradient.
4,522 St. Clair Avenue West,Off‑Site (30 m south),#37 – Operation of Dry Cleaning Equipment (where chemicals are used),"Based on the city directory, the property located at 522 St. Clair Avenue West, approximately 30 m south, was occupied by St. Clair Downflake Doughnut Shop in 1950, Spic & Span Ltd Cleaners from 1960 to 1971, Parkers’ Spic & Span in 1978/79, Parkers Cleaners Ltd in 1990 and Parkers Cleaners in 2000.",None. Located downgradient.
5,534 St. Clair Avenue West,Off‑Site (30 m southwest),#10 – Commercial Autobody Shops,"Based on the city directory, the property located at 534 St. Clair Avenue West, approximately 30 m southwest, was occupied by Colclough Fancy Goods and Dental Office in 1930, Taylor’s Service Station and Dental Office in 1940, Vaunclair Food Market and Clothes Horse in 1950, New Health Bread Bakery and Canada Cleaning Supplies from 1960 to 1971, Health Bread Bakery from 1978/79 to 2000.",None. Located downgradient.
6,534 St. Clair Avenue West,Off‑Site (30 m southwest),#28 – Gasoline and Associated Products Storage in Fixed Tanks,,None. Located downgradient.
7,1467 Bathurst Street,Off‑Site (60 m east),#10 – Commercial Autobody Shops,"Based on the ERIS report, the property located at 1467 Bathurst Street, approximately 60 m east, occupied by 1516726 Ontario Inc o/a Gas Station, 1162006 Ontario Ltd Crosstown Car Wash & Auto Service, Crosstown Car Wash Anp, 373854 Ontario Ltd, Cross‑Town Auto Service and Suncor Energy Products Inc., had six (6) records of an expired liquid fuel tank in 2014, an expired propane cylinder handling facility, two (2) records of five (5) gasoline single wall USTs in 2007 and ten (10) gasoline single wall USTs in 2008, two (2) records of a retail storage tank in 1995 and a record of an abandoned UST. The property was listed as having operations of gasoline station and service station‑gasoline, oil and natural gas. Based on the ERIS report, the property located at 1467 Bathurst Street, occupied by Arcturus Environmental Limited and Petro‑Canada, had a cancelled certificate of approval for industrial air in 1997, a certificate of approval for industrial air in 1999 for biofilter treatment system and a certificate of approval for air in 2004. The property located at 1467 Bathurst Street, occupied by Suncor Energy Products Partnership and Petro‑Canada, was listed as a waste generator of waste oils or sludges, light fuels, inert organic wastes and other specified inorganics between 2002 and 2019. The property was listed as having operations of other gasoline stations. Based on the city directory, the property located at 1467 Bathurst Street, was occupied by Cross‑Town Car Wash Service Station Ltd in 1960, Bathclair Service Station Ltd from 1971 to 1978/79, Cross Town Car Wash Ltd from 1971 to 2000, Cross Town Auto Service from 1990 to 2000.",None. Inferred trans‑gradient.
8,1467 Bathurst Street,Off‑Site (60 m east),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Same property records as #7 (multiple USTs, gasoline station operations, waste generator records).",None. Inferred trans‑gradient.
9,1515 Bathurst Street,Off‑Site (65 m northeast),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 1515 Bathurst Street, approximately 65 m northeast, occupied by St. Michaels College, had a record of a 500‑gallon fuel oil UST in 1950. The property was listed as having operation of school.",None. Inferred trans‑gradient.
10,536 St. Clair Avenue West,Off‑Site (20 m southwest),#10 – Commercial Autobody Shops,"Based on the FIPs, a gasoline service station and an oiling facility were located at 536 St. Clair Avenue West, approximately 20 m southwest, with two (2) USTs located in the southwestern portion of the property in 1957. Based on the city directory, the property located at 536 St. Clair Avenue West, approximately 20 m southwest, was occupied by Nichols Joe Service Station & Garage in 1950, Hogan Ted Service Station in 1960, Texaco Canada Ltd in 1971, Fatso’s in 1990 and Auto Rover in 2000.",None. Located downgradient.
