PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
1,27 Grosvenor Street and 26 Grenville Street,On-Site,Other -Usage of De-icing Salt,"Based on the city directory, the property at 26 Grenville Street was occupied by E Zee Parking Ltd. from 1960 to 1971. Based on the aerial photos, 26 Grenville Street appears to have been developed with a parking lot from 1947 to 1975. 27 Grosvenor Street appears to be developed with a parking lot located on the western portion from 1960 to 1975.",Potential.,CD
2,22 Grenville Street,Off-Site,#10 -Commercial Autobody Shops,"Based on the ERIS report, the property located at 22 Grenville Street, east adjacent of the Site, occupied by Taylor [H A], was listed as having operation of auto body repair in 1923.",Potential.,ERIS
3,18 Grenville Street,Off-Site,#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, an UST leakage was identified in 1995 at 18 Grenville Street, located east adjacent of the Site.",Potential.,ERIS
4,865 Bay Street,Off-Site (10 m west),"#8 -Chemical Manufacturing, Processing and Bulk Storage","Based on the FIPs, Sharp & Dohme (Can) Ltd., a chemical manufacturer is located at 865 Bay Street, approximately 10 m west.",Potential.,FIP
5,865 Bay Street,Off-Site (10 m west),#57 -Vehicles and Associated Parts Manufacturing,"Based on the city directory, the property located at 865 Bay Street, approximately 10 m west, was occupied by National Auto Parts in 1929.",Potential.,CD
6,39 Grosvenor Street,Off-Site (10 m west),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 39 Grosvenor Street, approximately 10 m west, was occupied by Hall Gear & Mach Co in 1929.",Potential.,CD
7,38 Grenville Street,Off-Site (25 m west),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 25 St. Vincent Street (currently 38 Grenville Street), approximately 25 m west, occupied by Nesbit [Wallace], had a record of a gasoline tank in 1915.",Potential.,ERIS
8,863 Bay Street,Off-Site (25 m west),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, he property located at 863 Bay Street, approximately 25 m west, occupied by Williamson [R], had a record of two (2) oil tanks in 1927. 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",Potential.,ERIS
9,857 Bay Street,Off-Site (25 m west),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 857 Bay Street, approximately 25 m west, occupied by Leslie Charles H, had a record of a gasoline tank in 1927.",Potential.,ERIS
10,829 and 831 Bay Street,Off-Site (25 m west),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 829 and 831 Bay Street, approximately 30 m southwest of the Site, was occupied by Addison On Bay Auto Dealers & Repair between 1971 and 1990.",Potential.,CD
11,873 Bay Street,Off-Site (25 m northwest),#57 -Vehicles and Associated Parts Manufacturing,"Based on the city directory, the property located at 873 Bay Street, approximately 25 m northwest, was occupied by McLaughlin Motor Car in 1929.",Potential.,CD
12,34 Grosvenor Street,Off-Site (25 m northwest),#32 -Iron and Steel Manufacturing and Processing,"Based on the city directory, the property located at 34 Grosvenor Street, approximately 20 m northwest, was occupied by Dominion Structural Steel Ltd and Sheet Metal Workers International in 1950.",Potential.,CD
13,34 Grosvenor Street,Off-Site (25 m northwest),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 34 Grosvenor Street, approximately 20 m northwest, was occupied by Dominion Structural Steel Ltd and Sheet Metal Workers International in 1950.",Potential.,CD
14,34 Grosvenor Street,Off-Site (25 m northwest),#34 -Metal Fabrication,"Based on the city directory, the property located at 34 Grosvenor Street, approximately 20 m northwest, was occupied by Dominion Structural Steel Ltd and Sheet Metal Workers International in 1950.",Potential.,CD
15,881 Bay Street,Off-Site (50 m northwest),"#52 -Storage, Maintenance, Fueling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems","Based on the ERIS report, the property located at 881 Bay Street, approximately 50 m northwest, occupied by Ministry of Transport & Community, government repair garage, was listed as a waste generator of petroleum distillates, PCBs, acid waste-heavy metals, aliphatic solvents, petroleum distillates, halogenated solvents, oil skimmings’ and sludges, waste oils and lubricants between 1986 and 1998.",Potential.,ERIS
16,881 Bay Street,Off-Site (50 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 881 Bay Street, approximately 50 m northwest, occupied by Ministry of Transportation, had a record of an active single wall UST in 1984, two (2) historical records of a single wall UST in 2007 and 2008, two (2) records of a private storage tank in 1993 and a record of a gasoline tank in 1927. The property was listed as having operation of gasoline station.",Potential.,ERIS
17,897 and 901 Bay Street,Off-Site (80 m northwest),Other -Waste Generator of Light Fuels,"Based on the ERIS report, the property located at 897 and 901 Bay Street, approximately 80 m northwest, occupied by Ontario Realty Corporation, was listed as a waste generator of light fuels and PCBs between 1996 and 2001.",Potential.,ERIS
18,897 Bay Street,Off-Site (80 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 897 Bay Street, approximately 80 m northwest, occupied by Toronto Brick Co, had two (2) records of a gasoline tank in 1927.",Potential.,ERIS
19,880 Bay Street,Off-Site (80 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 880 Bay Street, approximately 80 m northwest, occupied by McLaughlin Motor Car Co, had a record of a gasoline tank in 1925.",Potential.,ERIS
20,25 Grosvenor Street,Off-Site,"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, the property located at 25 Grosvenor Street, east adjacent of the Site, occupied by Management Board Secretariat and Ontario Realty Corporation, had two (2) records of storage of askarel in 1996 and three (3) records of storage of ballasts with high level of PCBs between 1998 and 2000.",No PCBs are immobile.,ERIS
21,16 Grosvenor Street,Off-Site (35 m northeast),"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, the property located at 16 Grosvenor Street, approximately 35 m northeast, occupied by Ministry of Government Services, had thee (3) records of storage of askarel and transformer in 1991.",No PCBs are immobile.,ERIS
22,40 College Street,Off-Site (50 m south),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 40 College Street, approximately 50 m south, occupied by Imperial Co Ltd., had three (3) records of a gasoline tank in 1923 and three (3) gasoline tanks in 1929. The property was listed as having operation of gasoline station.",No Located downgradient.,ERIS
23,12 Grosvenor Street,Off-Site (50 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 12 Grosvenor Street, approximately 50 m northeast, occupied City of Toronto Fire Department, had a record of an active single wall UST in 1990, two (2) historical records of a single wall UST in 1990 and a record of a private storage tank. The property was listed as having operation of gasoline station.",No Inferred trans-gradient.,ERIS
24,474 and 476 Yonge Street,Off-Site (60 m east),#10 -Commercial Autobody Shops,"Based on the FIPs, Chevrolet Motor Car Co. including garage, showroom and repair is located at 476 Yonge Street, approximately 60 m east.",No Inferred trans-gradient.,FIP
25,474 and 476 Yonge Street,Off-Site (60 m east),"#52 -Storage, Maintenance, Fueling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation System","Based on the city directory, the property located at 474 and 476 Yonge Street, approximately 65 m east, was occupied by Train Bros from 1940 to 1950 and Renault Automobiles in 1960.",No Inferred trans-gradient.,CD
26,474 and 476 Yonge Street,Off-Site (60 m east),#57 -Vehicles and Associated Parts Manufacturing,"Based on the city directory, the property located at 474 and 476 Yonge Street, approximately 65 m east, was occupied by Train Bros from 1940 to 1950 and Renault Automobiles in 1960.",No Inferred trans-gradient.,CD
27,488 and 490 Yonge Street,Off-Site (65 m east),#10 -Commercial Autobody Shops,"Based on the FIPS, the property located at 490 Yonge Street, approximately 65 m east was occupied by Gibrons Motor Car Co. including showroom, garage and repair in 1909 and two (2) auto garages in 1948. Based on the city directory, the property located at 488 and 490 Yonge Street, approximately 65 m east, was occupied by Gibbons Motor Car Co. in 1919, United Motor Service in 1929 and Trutred Tires in 1940.",No Inferred trans-gradient.,FIP
28,488 and 490 Yonge Street,Off-Site (65 m east),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 488 Yonge Street, approximately 65 m east, occupied by New York Auto Sales, had a record of a gas tank and pump in 1933. The property was listed as having operation of gasoline service station.",No Inferred trans-gradient.,ERIS
29,827 Bay Street,Off-Site (65 m southwest),#10 -Commercial Autobody Shops,"Based on the FIPs, the property located at 827 Bay Street, 65 m southwest was occupied by an auto service station with two (2) USTs located on the northern portion of the property in 1948 and one (1) UST located on the northern portion of the property in 1964. Based on the city directory, the property located at 827 Bay Street, approximately 65 m southwest, was occupied by Imperial Oil Ltd. Service Station in 1929, Rodgers Service Station in 1940 and Jones Service Station in 1950.",No Located downgradient.,FIP
30,827 Bay Street,Off-Site (65 m southwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, the property located at 827 Bay Street, 65 m southwest was occupied by an auto service station with two (2) USTs located on the northern portion of the property in 1948 and one (1) UST located on the northern portion of the property in 1964. Based on the city directory, the property located at 827 Bay Street, approximately 65 m southwest, was occupied by Imperial Oil Ltd. Service Station in 1929, Rodgers Service Station in 1940 and Jones Service Station in 1950.",No Located downgradient.,FIP
