pca_identifier,address,location_relation_to_site,pca_number,pca_name,description_timeline,source_pages
1,670 PROGRESS AVENUE SCARBOROUGH ON M1H 3A4,On-site,52,"Storage, maintenance, fuelling and repair of equipment, vehicles, and material used to maintain transportation systems","ALL-LIFT (SCARBOROUGH) LIMITED: A waste generator (GEN) from 1993-2013, producing waste oils, lubricants, and petroleum distillates. Described as industrial machinery rental and wholesale.; DASA MANUFACTURING 2010 LTD. generated waste oils and lubricants as part of its small electrical appliance manufacturing. Records from 2010-2014.; All Lift Ltd (2000, 1995); Marna Construction (2000); Argon Hoist (1985/86); Hudson Bay Wholesale Vending (1985/86, 1980)",1-67;68-162;247-256
2,670 PROGRESS AVENUE SCARBOROUGH ON M1H 3A4,On-site,19,Electronic and Computer Equipment Manufacturing,"ANRO ELECTRONIC IND.(LEECRAFT LTD) / LEECRAFT INDUSTRIES LIMITED: A waste generator (GEN) from 1988-1998 for electrical parts and components. Wastes included paint/coating residues, aliphatic solvents, halogenated solvents, and organic acids.; BDH Computers Systems Inc (1995, 1991); Microhouse Systems (1995); Communications Devices Inc (1985/86)",1-67;247-256
3,670 Progress Avenue,On-Site,35,"Mining, Smelting and Refining; Ore Processing; Tailings Storage","GBA Refineries Ltd (2000, 1995, 1991)",247-256
4,670 Progress Avenue,On-Site,34,Metal Fabrication,Cooltec Coolers (1995),247-256
5,670 Progress Avenue,On-Site,54,Textile Manufacturing and Processing,"Javin Sportswear (1995); Toronto Sewing Ctr (1995, 1991)",247-256
6,670 Progress Avenue,On-Site,31,"Ink Manufacturing, Processing and Bulk Storage","Aetna Canada Printing Dept (1991); Diversified Impressions (1991, 1985/86, 1980)",247-256
7,670 Progress Avenue,On-Site,2,"Adhesives and Resins Manufacturing, Processing and Bulk Storage","Fasco Floorex (1991); Flooring Accessories Supply Co (1985/86, 1980)",247-256
8,670 Progress Avenue,On-Site,18,"Electricity Generation, Transformation and Power Stations",Combustion & Energy Systems Ltd (1980),247-256
9,680 PROGRESS AVE. SCARBOROUGH ON M1H 3A5,On-site,57,Vehicles and Associated Parts Manufacturing,MODU-TRONICS INC (OUT OF BUSINESS): A waste generator (GEN) from 1986-1998 for 'OTHER VEHICLE ACCES.' (accessories). Waste included halogenated solvents.; Carrier Canada Ltd auto parts (1991),1-67;247-256
10,680 PROGRESS AVE. #5 SCARBOROUGH ON M1H 3A5,On-site,31,"Ink Manufacturing, Processing and Bulk Storage",EXCELL SCREEN PRINTING: A waste generator (GEN) from 1989-1998 for commercial printing. Waste included petroleum distillates.,1-67
11,680 Progress Avenue,On-Site,19,Electronic and Computer Equipment Manufacturing,All Pro Electronics (1995); Telebell Canada (1995); Mil Mac Communications (1985/86); Amphenol Canada (1975),247-256
12,680 Progress Avenue,On-Site,43,Plastics (including Fibreglass) Manufacturing and Processing,"Sun Sun Promotions & Packaging (1995); Malpack Polybag Co Ltd (1991, 1985/86)",247-256
